"","edo","year","sexo","tipo_enfermedad","tasa"
"499","Nuevo León",2006,"F","trans",48.2
"500","Oaxaca",2006,"F","trans",70.8
"501","Puebla",2006,"F","trans",69.9
"502","Querétaro",2006,"F","trans",56.4
"503","Quintana Roo",2006,"F","trans",52.2
"504","San Luis Potosí",2006,"F","trans",55
"505","Sinaloa",2006,"F","trans",48.7
"506","Sonora",2006,"F","trans",65.9
"507","Tabasco",2006,"F","trans",62
"508","Tamaulipas",2006,"F","trans",48.3
"509","Tlaxcala",2006,"F","trans",60.7
"510","Veracruz",2006,"F","trans",56.8
"511","Yucatán",2006,"F","trans",65.5
"512","Zacatecas",2006,"F","trans",51.1
"513","Aguascalientes",2007,"F","trans",48.8
"514","Baja California",2007,"F","trans",58.1
"515","Baja California Sur",2007,"F","trans",57.5
"516","Campeche",2007,"F","trans",48.3
"517","Coahuila",2007,"F","trans",48.9
"518","Colima",2007,"F","trans",58.5
"519","Chiapas",2007,"F","trans",89
"520","Chihuahua",2007,"F","trans",64.3
"521","Distrito Federal",2007,"F","trans",58.3
"522","Durango",2007,"F","trans",48.8
"523","Guanajuato",2007,"F","trans",55.4
"524","Guerrero",2007,"F","trans",56.1
"525","Hidalgo",2007,"F","trans",54.4
"526","Jalisco",2007,"F","trans",59
"527","México",2007,"F","trans",63.7
"528","Michoacán",2007,"F","trans",48.5
"529","Morelos",2007,"F","trans",54.4
"530","Nayarit",2007,"F","trans",49.7
"531","Nuevo León",2007,"F","trans",46.6
"532","Oaxaca",2007,"F","trans",82.4
"533","Puebla",2007,"F","trans",70.1
"534","Querétaro",2007,"F","trans",49.8
"535","Quintana Roo",2007,"F","trans",49.9
"536","San Luis Potosí",2007,"F","trans",53.2
"537","Sinaloa",2007,"F","trans",44.4
"538","Sonora",2007,"F","trans",52.6
"539","Tabasco",2007,"F","trans",58.4
"540","Tamaulipas",2007,"F","trans",46.6
"541","Tlaxcala",2007,"F","trans",55.1
"542","Veracruz",2007,"F","trans",62.7
"543","Yucatán",2007,"F","trans",60.6
"544","Zacatecas",2007,"F","trans",50.6
"545","Aguascalientes",2008,"F","trans",48.6
"546","Baja California",2008,"F","trans",55.2
"547","Baja California Sur",2008,"F","trans",55.1
"548","Campeche",2008,"F","trans",50.6
"549","Coahuila",2008,"F","trans",47.7
"550","Colima",2008,"F","trans",47.7
"551","Chiapas",2008,"F","trans",87.9
"552","Chihuahua",2008,"F","trans",67.3
"553","Distrito Federal",2008,"F","trans",53.3
"554","Durango",2008,"F","trans",48.7
"555","Guanajuato",2008,"F","trans",54.6
"556","Guerrero",2008,"F","trans",56
"557","Hidalgo",2008,"F","trans",52
"558","Jalisco",2008,"F","trans",62
"559","México",2008,"F","trans",63
"560","Michoacán",2008,"F","trans",48.4
"561","Morelos",2008,"F","trans",56.9
"562","Nayarit",2008,"F","trans",55.6
"563","Nuevo León",2008,"F","trans",49.8
"564","Oaxaca",2008,"F","trans",78.2
"565","Puebla",2008,"F","trans",67.1
"566","Querétaro",2008,"F","trans",53.6
"567","Quintana Roo",2008,"F","trans",53.3
"568","San Luis Potosí",2008,"F","trans",48.2
"569","Sinaloa",2008,"F","trans",48.4
"570","Sonora",2008,"F","trans",60.1
"571","Tabasco",2008,"F","trans",52.8
"572","Tamaulipas",2008,"F","trans",46.1
"573","Tlaxcala",2008,"F","trans",52.6
"574","Veracruz",2008,"F","trans",64.7
"575","Yucatán",2008,"F","trans",60
"576","Zacatecas",2008,"F","trans",52.6
"577","Aguascalientes",2000,"M","noTrans",539.6
"578","Baja California",2000,"M","noTrans",717.9
"579","Baja California Sur",2000,"M","noTrans",596.6
"580","Campeche",2000,"M","noTrans",430.6
"581","Coahuila",2000,"M","noTrans",638.4
"582","Colima",2000,"M","noTrans",564.5
"583","Chiapas",2000,"M","noTrans",432
"584","Chihuahua",2000,"M","noTrans",666.7
"585","Distrito Federal",2000,"M","noTrans",633.2
"586","Durango",2000,"M","noTrans",507.8
"587","Guanajuato",2000,"M","noTrans",544.4
"588","Guerrero",2000,"M","noTrans",362.2
"589","Hidalgo",2000,"M","noTrans",477
"590","Jalisco",2000,"M","noTrans",572.3
"591","México",2000,"M","noTrans",593.2
"592","Michoacán",2000,"M","noTrans",497.6
"593","Morelos",2000,"M","noTrans",503.9
"594","Nayarit",2000,"M","noTrans",470.2
"595","Nuevo León",2000,"M","noTrans",589.1
"596","Oaxaca",2000,"M","noTrans",478.6
"597","Puebla",2000,"M","noTrans",576.3
"598","Querétaro",2000,"M","noTrans",591.9
"599","Quintana Roo",2000,"M","noTrans",406.9
"600","San Luis Potosí",2000,"M","noTrans",482.2
"601","Sinaloa",2000,"M","noTrans",528.2
"602","Sonora",2000,"M","noTrans",654.5
"603","Tabasco",2000,"M","noTrans",491
"604","Tamaulipas",2000,"M","noTrans",556.2
"605","Tlaxcala",2000,"M","noTrans",482.2
"606","Veracruz",2000,"M","noTrans",545.1
"607","Yucatán",2000,"M","noTrans",487.4
"608","Zacatecas",2000,"M","noTrans",483.9
"609","Aguascalientes",2001,"M","noTrans",543.9
"610","Baja California",2001,"M","noTrans",661.6
"611","Baja California Sur",2001,"M","noTrans",623.3
"612","Campeche",2001,"M","noTrans",448.5
"613","Coahuila",2001,"M","noTrans",640.9
"614","Colima",2001,"M","noTrans",544.4
"615","Chiapas",2001,"M","noTrans",437.4
"616","Chihuahua",2001,"M","noTrans",655.7
"617","Distrito Federal",2001,"M","noTrans",631.7
"618","Durango",2001,"M","noTrans",507.6
"619","Guanajuato",2001,"M","noTrans",513.9
"620","Guerrero",2001,"M","noTrans",380.7
"621","Hidalgo",2001,"M","noTrans",518.3
"622","Jalisco",2001,"M","noTrans",561.7
